"generation","best_feasible","penalty_weight","instance","seed"
60,13372328,10,1,1001
61,13372328,10,1,1001
62,13372328,10,1,1001
63,13372328,10,1,1001
64,13372328,10,1,1001
65,13372328,10,1,1001
66,13372328,10,1,1001
67,13372328,10,1,1001
68,13372328,10,1,1001
69,13372328,10,1,1001
70,13372328,10,1,1001
71,13372328,10,1,1001
72,13372328,10,1,1001
73,13372328,10,1,1001
74,13372328,10,1,1001
75,13372328,10,1,1001
76,13372328,10,1,1001
77,13372328,10,1,1001
78,13372328,10,1,1001
79,13372328,10,1,1001
80,13372328,10,1,1001
81,13372328,10,1,1001
82,13372328,10,1,1001
83,13372328,10,1,1001
84,13372328,10,1,1001
85,13372328,10,1,1001
86,13372328,10,1,1001
87,13372328,10,1,1001
88,13372328,10,1,1001
89,13372328,10,1,1001
90,13372328,10,1,1001
91,13372328,10,1,1001
92,13372328,10,1,1001
93,13372328,10,1,1001
94,13372328,10,1,1001
95,13372328,10,1,1001
96,13372328,10,1,1001
97,13372328,10,1,1001
98,13372328,10,1,1001
99,13372328,10,1,1001
100,13372328,10,1,1001
1,12760899,0.1,2,1002
2,12760899,0.1,2,1002
3,12760899,0.1,2,1002
4,12823385,0.1,2,1002
5,12823385,0.1,2,1002
6,13115136,0.1,2,1002
7,13115136,0.1,2,1002
8,13115136,0.1,2,1002
9,13221757,0.1,2,1002
10,13221757,0.1,2,1002
11,13221757,0.1,2,1002
12,13221757,0.1,2,1002
13,13221757,0.1,2,1002
14,13221757,0.1,2,1002
15,13221757,0.1,2,1002
16,13247223,0.1,2,1002
17,13247223,0.1,2,1002
18,13247223,0.1,2,1002
19,13247223,0.1,2,1002
20,13369041,0.1,2,1002
21,13369041,0.1,2,1002
22,13369041,0.1,2,1002
23,13369041,0.1,2,1002
24,13369041,0.1,2,1002
25,13369041,0.1,2,1002
26,13369041,0.1,2,1002
27,13369041,0.1,2,1002
28,13369041,0.1,2,1002
29,13369041,0.1,2,1002
30,13369041,0.1,2,1002
31,13369041,0.1,2,1002
32,13369041,0.1,2,1002
33,13369041,0.1,2,1002
34,13369041,0.1,2,1002
35,13369041,0.1,2,1002
36,13369041,0.1,2,1002
37,13369041,0.1,2,1002
38,13369041,0.1,2,1002
39,13399767,0.1,2,1002
